Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Sembawang,1991,6,1,12.2,—,—,—,26.1,30.1,24,5.5,—
Sembawang,1991,6,2,4,—,—,—,27.9,31.8,24.2,6.2,—
Sembawang,1991,6,3,65.7,—,—,—,25.3,26.7,23.8,8,—
Sembawang,1991,6,4,32.4,—,—,—,26.4,30.7,23.9,6.3,—
Sembawang,1991,6,5,0,—,—,—,27.3,31.9,24,6.4,—
Sembawang,1991,6,6,0,—,—,—,28.6,33.2,24.8,13.6,—
Sembawang,1991,6,7,0,—,—,—,29,33.4,24,8.5,—
Sembawang,1991,6,8,0,—,—,—,29.2,33.6,24.3,7.7,—
Sembawang,1991,6,9,0,—,—,—,29.3,34.7,24.5,8,—
Sembawang,1991,6,10,0,—,—,—,29.4,32.9,26.3,8.4,—
Sembawang,1991,6,11,0.2,—,—,—,28.8,33.6,25.4,8.1,—
Sembawang,1991,6,12,0,—,—,—,28.2,34.1,22.7,10.5,—
Sembawang,1991,6,13,0,—,—,—,29.6,34.4,24.5,7,—
Sembawang,1991,6,14,0,—,—,—,29.4,34.6,24,6,—
Sembawang,1991,6,15,0.2,—,—,—,29.5,34.3,24,5,—
Sembawang,1991,6,16,0.6,—,—,—,29.5,33.8,24.9,5,—
Sembawang,1991,6,17,4,—,—,—,27.9,33.8,25,5.5,—
Sembawang,1991,6,18,0,—,—,—,27.7,33.2,24.2,8.6,—
Sembawang,1991,6,19,0,—,—,—,29,34.1,24.3,5.2,—
Sembawang,1991,6,20,0,—,—,—,29.4,34,24.6,7.7,—
Sembawang,1991,6,21,0,—,—,—,29.5,33.2,25.6,9.3,—
Sembawang,1991,6,22,0,—,—,—,29.3,34.1,24.2,10.4,—
Sembawang,1991,6,23,0,—,—,—,28.7,32.8,24.4,7.3,—
Sembawang,1991,6,24,0,—,—,—,28.6,33,24.4,11.1,—
Sembawang,1991,6,25,0,—,—,—,29.5,34.3,26.4,11.7,—
Sembawang,1991,6,26,0.3,—,—,—,29.1,34.6,25,11.1,—
Sembawang,1991,6,27,10.4,—,—,—,27.1,31.1,24.4,6.6,—
Sembawang,1991,6,28,14,—,—,—,27.1,33.4,24,6,—
Sembawang,1991,6,29,9.7,—,—,—,25.6,31,23,5.2,—
Sembawang,1991,6,30,0,—,—,—,27.6,32.9,23.1,3.6,—
