Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tuas South,2011,4,1,12,—,—,—,28.4,31.9,25.9,8.5,22
Tuas South,2011,4,2,0,—,—,—,—,30.4,23,7.1,42.8
Tuas South,2011,4,3,0,—,—,—,—,—,—,10.2,25.6
Tuas South,2011,4,4,0,—,—,—,—,—,—,7.8,24.8
Tuas South,2011,4,5,0,—,—,—,—,31.4,25.8,6,32
Tuas South,2011,4,6,10.2,—,—,—,—,33.1,23.7,7.3,45
Tuas South,2011,4,7,0,—,—,—,28.6,33.2,25.4,7.7,31.7
Tuas South,2011,4,8,0,—,—,—,—,33.4,25.2,8.6,26.3
Tuas South,2011,4,9,6.4,—,—,—,—,32.1,25.4,9.1,28.8
Tuas South,2011,4,10,0.4,—,—,—,—,30.7,25.6,7.5,29.2
Tuas South,2011,4,11,0,—,—,—,26.6,27.9,25.4,5.5,19.8
Tuas South,2011,4,12,2.4,—,—,—,27.8,33,25.4,7.3,24.8
Tuas South,2011,4,13,1,—,—,—,27.4,32.6,25.3,5.5,27
Tuas South,2011,4,14,0,—,—,—,27.4,32,25.8,7.2,34.6
Tuas South,2011,4,15,8.4,—,—,—,28.1,33.2,24.9,4.8,28.1
Tuas South,2011,4,16,1,—,—,—,26.8,30.4,25.4,4.7,38.2
Tuas South,2011,4,17,26.2,—,—,—,28.2,32.7,24.7,5.4,17.6
Tuas South,2011,4,18,0.8,—,—,—,—,29.6,23.3,7.6,48.6
Tuas South,2011,4,19,0,—,—,—,28.8,31.4,26.7,8.9,22.3
Tuas South,2011,4,20,5.6,—,—,—,27,29.1,25.2,5,29.5
Tuas South,2011,4,21,2,—,—,—,27.6,30.8,25.3,5.5,24.8
Tuas South,2011,4,22,0,—,—,—,28.6,33,26.3,4.8,27.4
Tuas South,2011,4,23,0,—,—,—,28.6,32.2,26.4,5.3,21.6
Tuas South,2011,4,24,15.6,—,—,—,—,33,24.5,6.4,36.7
Tuas South,2011,4,25,0,—,—,—,28.7,33.2,25.3,5.8,26.3
Tuas South,2011,4,26,19.6,—,—,—,—,32.7,24.3,6.3,34.9
Tuas South,2011,4,27,0,—,—,—,28.4,31.7,26.1,6.3,32.8
Tuas South,2011,4,28,55.8,—,—,—,28.4,32.5,24.8,4.6,32
Tuas South,2011,4,29,12.4,—,—,—,—,—,—,5.7,20.5
Tuas South,2011,4,30,20.2,—,—,—,27.8,30.6,24.4,6.6,34.2
