Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2023,3,1,    90.2,    23.6,    38.2,    56.4,    23.9,    26.9,    21.8,     7.0,    27.8
Changi,2023,3,2,    29.8,     9.6,    16.8,    22.0,    24.8,    30.0,    23.2,     7.6,    37.0
Changi,2023,3,3,    38.2,     6.8,     9.2,    11.0,    24.7,    25.7,    23.7,     7.0,    25.9
Changi,2023,3,4,    24.6,     5.8,     9.2,    13.2,    24.4,    25.5,    22.7,    10.8,    38.9
Changi,2023,3,5,    12.2,     4.2,     5.4,     5.6,    25.3,    28.2,    24.0,     8.5,    51.9
Changi,2023,3,6,     0.2,     0.2,     0.2,     0.2,    25.6,    29.1,    23.6,    11.7,    42.6
Changi,2023,3,7,     0.2,     0.2,     0.2,     0.2,    26.5,    29.7,    24.2,    11.7,    37.0
Changi,2023,3,8,     0.0,     0.0,     0.0,     0.0,    27.1,    30.9,    24.8,    14.9,    42.6
Changi,2023,3,9,     0.0,     0.0,     0.0,     0.0,    27.6,    31.2,    25.3,    16.1,    40.7
Changi,2023,3,10,     0.0,     0.0,     0.0,     0.0,    27.5,    30.7,    25.7,    17.0,    40.7
Changi,2023,3,11,     0.0,     0.0,     0.0,     0.0,    27.4,    30.6,    25.6,    14.6,    40.7
Changi,2023,3,12,     0.0,     0.0,     0.0,     0.0,    27.6,    31.9,    25.1,    15.3,    38.9
Changi,2023,3,13,     0.0,     0.0,     0.0,     0.0,    27.2,    31.0,    25.4,    18.1,    44.4
Changi,2023,3,14,     0.0,     0.0,     0.0,     0.0,    26.9,    30.4,    24.9,    15.9,    40.7
Changi,2023,3,15,     0.0,     0.0,     0.0,     0.0,    27.1,    31.3,    24.3,    15.5,    38.9
Changi,2023,3,16,     0.0,     0.0,     0.0,     0.0,    27.6,    31.7,    25.1,    17.4,    40.7
Changi,2023,3,17,     0.0,     0.0,     0.0,     0.0,    27.8,    31.9,    25.2,    15.3,    40.7
Changi,2023,3,18,     0.0,     0.0,     0.0,     0.0,    27.8,    32.3,    25.4,    15.0,    42.6
Changi,2023,3,19,     0.0,     0.0,     0.0,     0.0,    28.0,    32.3,    26.1,    13.4,    40.7
Changi,2023,3,20,     0.0,     0.0,     0.0,     0.0,    28.2,    32.6,    26.4,    13.7,    37.0
Changi,2023,3,21,     6.4,     5.8,     6.2,     6.4,    27.1,    31.0,    22.8,     8.4,    29.6
Changi,2023,3,22,     0.0,     0.0,     0.0,     0.0,    28.0,    32.8,    25.7,    10.0,    31.5
Changi,2023,3,23,     0.0,     0.0,     0.0,     0.0,    28.7,    33.2,    25.7,    10.4,    35.2
Changi,2023,3,24,     6.8,     5.8,     6.8,     6.8,    28.0,    33.1,    24.7,     7.0,    29.6
Changi,2023,3,25,     6.2,     3.6,     5.2,     5.6,    26.3,    32.5,    24.3,     7.1,    24.1
Changi,2023,3,26,     0.0,     0.0,     0.0,     0.0,    27.4,    31.8,    24.5,     6.1,    24.1
Changi,2023,3,27,    19.4,    11.4,    17.4,    17.8,    26.0,    27.8,    22.9,     6.1,    33.3
Changi,2023,3,28,     0.0,     0.0,     0.0,     0.0,    28.8,    33.5,    25.3,     9.1,    33.3
Changi,2023,3,29,     0.0,     0.0,     0.0,     0.0,    28.8,    33.6,    26.0,     9.3,    33.3
Changi,2023,3,30,     9.2,     9.0,     9.0,     9.2,    28.4,    32.9,    24.0,    12.8,    38.9
Changi,2023,3,31,     0.0,     0.0,     0.0,     0.0,    28.7,    33.0,    25.6,     9.5,    35.2
