Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong (West),2020,12,1,     0.0,     0.0,     0.0,     0.0,    28.1,    32.3,    24.8,     6.6,    28.2
Jurong (West),2020,12,2,     1.4,     0.8,     1.2,     1.2,    27.5,    30.7,    24.1,     6.4,    29.4
Jurong (West),2020,12,3,     3.6,     2.8,     3.4,     3.4,    26.6,    32.0,    24.6,     6.0,    32.8
Jurong (West),2020,12,4,     5.0,     3.6,     4.0,     4.8,    26.0,    31.9,    24.2,     7.9,    35.0
Jurong (West),2020,12,5,     9.8,     9.0,     9.6,     9.8,    26.1,    32.1,    24.3,     9.1,    36.7
Jurong (West),2020,12,6,     0.2,     0.2,     0.2,     0.2,    27.7,    33.1,    24.6,     9.5,    37.8
Jurong (West),2020,12,7,     0.0,     0.0,     0.0,     0.0,    27.8,    32.9,    24.8,     9.1,    33.2
Jurong (West),2020,12,8,     3.8,     2.6,     3.4,     3.8,    27.5,    32.9,    25.1,     9.0,    34.6
Jurong (West),2020,12,9,     8.6,     8.6,     8.6,     8.6,    27.3,    32.9,    24.7,     7.3,    24.1
Jurong (West),2020,12,10,     0.8,     0.6,     0.6,     0.6,    26.5,    31.7,    24.3,     6.8,    29.1
Jurong (West),2020,12,11,     0.0,     0.0,     0.0,     0.0,    27.0,    30.7,    24.2,     8.7,    41.1
Jurong (West),2020,12,12,     3.2,     1.4,     1.4,     1.4,    25.8,    31.8,    22.7,     7.7,    28.9
Jurong (West),2020,12,13,     0.2,     0.2,     0.2,     0.2,    26.6,    29.7,    23.1,     8.3,    29.8
Jurong (West),2020,12,14,    50.0,    19.6,    27.6,    43.6,    25.6,    32.0,    23.2,     6.9,    47.6
Jurong (West),2020,12,15,    41.0,    25.0,    26.6,    40.4,    25.3,    32.1,    23.0,     6.8,    41.9
Jurong (West),2020,12,16,     8.4,     6.6,     6.6,     6.6,    25.3,    29.4,    23.2,     4.9,    41.1
Jurong (West),2020,12,17,    52.8,    44.2,    51.6,    52.8,    25.4,    30.6,    22.7,     5.5,    30.2
Jurong (West),2020,12,18,     3.0,     1.0,     1.2,     1.6,    24.5,    26.0,    22.5,     6.5,    39.6
Jurong (West),2020,12,19,     0.0,     0.0,     0.0,     0.0,    25.7,    29.9,    23.0,     6.3,    22.4
Jurong (West),2020,12,20,     5.0,     4.4,     4.4,     5.0,    26.1,    31.5,    23.7,     6.9,    28.5
Jurong (West),2020,12,21,     0.0,     0.0,     0.0,     0.0,    26.6,    31.3,    23.8,     6.4,    25.6
Jurong (West),2020,12,22,     1.0,     1.0,     1.0,     1.0,    27.3,    32.9,    24.6,     7.4,    29.1
Jurong (West),2020,12,23,     0.0,     0.0,     0.0,     0.0,    27.4,    32.3,    24.8,     7.3,    22.6
Jurong (West),2020,12,24,     0.0,     0.0,     0.0,     0.0,    26.4,    29.0,    24.7,     5.5,    25.2
Jurong (West),2020,12,25,     0.0,     0.0,     0.0,     0.0,    28.1,    33.2,    25.3,     5.7,    23.3
Jurong (West),2020,12,26,    91.6,    26.2,    36.0,    50.8,    26.5,    31.1,    22.5,     7.9,    47.8
Jurong (West),2020,12,27,     1.6,     1.0,     1.2,     1.6,    26.3,    32.6,    23.1,     6.3,    23.7
Jurong (West),2020,12,28,    20.6,    13.4,    19.4,    20.6,    26.9,    32.0,    24.2,     8.1,    29.1
Jurong (West),2020,12,29,     0.2,     0.2,     0.2,     0.2,    26.0,    30.2,    24.6,     5.2,    25.6
Jurong (West),2020,12,30,     2.0,     1.4,     1.4,     1.4,    26.8,    32.2,    24.3,     5.7,    23.7
Jurong (West),2020,12,31,    25.0,    20.6,    23.4,    24.4,    25.9,    31.8,    23.3,     6.6,    25.9
