Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tai Seng,1981,8,1,2.8,—,—,—,—,—,—,—,—
Tai Seng,1981,8,2,11.1,—,—,—,—,—,—,—,—
Tai Seng,1981,8,3,0,—,—,—,—,—,—,—,—
Tai Seng,1981,8,4,0,—,—,—,—,—,—,—,—
Tai Seng,1981,8,5,0,—,—,—,—,—,—,—,—
Tai Seng,1981,8,6,0,—,—,—,—,—,—,—,—
Tai Seng,1981,8,7,0,—,—,—,—,—,—,—,—
Tai Seng,1981,8,8,0,—,—,—,—,—,—,—,—
Tai Seng,1981,8,9,0,—,—,—,—,—,—,—,—
Tai Seng,1981,8,10,0,—,—,—,—,—,—,—,—
Tai Seng,1981,8,11,0,—,—,—,—,—,—,—,—
Tai Seng,1981,8,12,0,—,—,—,—,—,—,—,—
Tai Seng,1981,8,13,0,—,—,—,—,—,—,—,—
Tai Seng,1981,8,14,0,—,—,—,—,—,—,—,—
Tai Seng,1981,8,15,0,—,—,—,—,—,—,—,—
Tai Seng,1981,8,16,0,—,—,—,—,—,—,—,—
Tai Seng,1981,8,17,6,—,—,—,—,—,—,—,—
Tai Seng,1981,8,18,1.1,—,—,—,—,—,—,—,—
Tai Seng,1981,8,19,0,—,—,—,—,—,—,—,—
Tai Seng,1981,8,20,0,—,—,—,—,—,—,—,—
Tai Seng,1981,8,21,0,—,—,—,—,—,—,—,—
Tai Seng,1981,8,22,0,—,—,—,—,—,—,—,—
Tai Seng,1981,8,23,1.6,—,—,—,—,—,—,—,—
Tai Seng,1981,8,24,11.5,—,—,—,—,—,—,—,—
Tai Seng,1981,8,25,0,—,—,—,—,—,—,—,—
Tai Seng,1981,8,26,0,—,—,—,—,—,—,—,—
Tai Seng,1981,8,27,23.8,—,—,—,—,—,—,—,—
Tai Seng,1981,8,28,0,—,—,—,—,—,—,—,—
Tai Seng,1981,8,29,0,—,—,—,—,—,—,—,—
Tai Seng,1981,8,30,0.2,—,—,—,—,—,—,—,—
Tai Seng,1981,8,31,0.3,—,—,—,—,—,—,—,—
