Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Sembawang,1991,10,1,0,—,—,—,28.6,33,25,7.9,—
Sembawang,1991,10,2,0,—,—,—,28,32.8,24.4,9.3,—
Sembawang,1991,10,3,4.3,—,—,—,26.4,30,24.3,6.2,—
Sembawang,1991,10,4,1.8,—,—,—,27.6,33.6,23.9,5.9,—
Sembawang,1991,10,5,0,—,—,—,28.7,34.3,23.8,8.6,—
Sembawang,1991,10,6,0,—,—,—,28.8,34.1,24,9.6,—
Sembawang,1991,10,7,0,—,—,—,28,32.7,23.7,8.6,—
Sembawang,1991,10,8,0,—,—,—,27.4,32.2,22.9,8.5,—
Sembawang,1991,10,9,0,—,—,—,27.9,31.8,23.6,7.9,—
Sembawang,1991,10,10,0.9,—,—,—,28.1,32.8,23.6,7.6,—
Sembawang,1991,10,11,0.4,—,—,—,26.5,30.4,24.6,4.9,—
Sembawang,1991,10,12,29.1,—,—,—,25.2,29.8,23.6,2.8,—
Sembawang,1991,10,13,31.1,—,—,—,25,31.6,22.5,3.1,—
Sembawang,1991,10,14,10.1,—,—,—,24.8,31.1,22.3,3.4,—
Sembawang,1991,10,15,2.7,—,—,—,25.4,32.1,21.8,3.1,—
Sembawang,1991,10,16,4.2,—,—,—,25.4,31.5,21.5,3,—
Sembawang,1991,10,17,0,—,—,—,26.8,32.7,21.4,5.8,—
Sembawang,1991,10,18,6.7,—,—,—,26.2,32.6,23,3.3,—
Sembawang,1991,10,19,4.8,—,—,—,25.6,32.6,22.4,3.7,—
Sembawang,1991,10,20,0.1,—,—,—,26,31.8,22.6,5.9,—
Sembawang,1991,10,21,0,—,—,—,26.5,30.9,23.3,4.4,—
Sembawang,1991,10,22,0,—,—,—,27.4,33.3,22.5,4.8,—
Sembawang,1991,10,23,0,—,—,—,27.4,32.4,22.6,8.8,—
Sembawang,1991,10,24,0,—,—,—,28.1,33.7,23.5,8.2,—
Sembawang,1991,10,25,0.6,—,—,—,27.6,32,23.6,6.1,—
Sembawang,1991,10,26,0,—,—,—,28.1,33.6,23.5,4.2,—
Sembawang,1991,10,27,0,—,—,—,27.6,32.4,23.5,7.5,—
Sembawang,1991,10,28,0,—,—,—,28,33.2,23.1,5.2,—
Sembawang,1991,10,29,0,—,—,—,27,31.7,23.5,7.6,—
Sembawang,1991,10,30,30,—,—,—,26.9,33.2,22.2,4.8,—
Sembawang,1991,10,31,0,—,—,—,25.6,31.4,22.8,5,—
